,cheap,expensive,moderate,v_cheap,v_expensive
cheap,240,4,223,176,18
expensive,1,143,356,1,211
moderate,153,123,1266,93,193
v_cheap,144,4,123,428,9
v_expensive,0,87,185,0,382
