state,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01
US-SC,64,0,0,29,41,28,28,24,22,0,24,34,19,0,0,0,18,19,0,17,15,14,15,15,19,12,11,12,18,0,18,10,20,27,9,9,18,12,12,15,16,10,22,27,11,8,12,17,11,17,9,11,8,15,14,21,21,11,9,11,10,10,9,20,17,31,21,25,15,20,15,12,20,35,27,27,23,28,21,26,35,20,20,14,23,32,34,18,22,39,33,38,23,24,20,19,42,46,48,47,46,55,49,40,34,38,24,32,47,45,54,52,62,67,52,49,41,31,32,27,51,60,55,55,67,66,49,49,47,32,35,29,70,64,51,60,54,59,50,48,42,32,42,41,69,76,67,72,74,62,69,62,51,40,28,40,70,74,63,55,79,69,80,66,51,47,46,54,82,82,84,88,89,83,98,85,58,62,53,51,100,91,80,76,82,73,78,70,61,49,59
US-SD,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,40,0,0,0,0,0,30,0,0,0,0,24,49,24,0,26,23,22,20,0,0,0,0,18,23,19,21,20,0,0,30,35,33,31,40,14,24,16,70,33,27,22,13,27,13,25,38,16,25,27,37,19,0,25,24,23,18,18,27,17,30,19,32,25,20,16,18,26,34,39,19,19,22,31,53,41,39,40,22,22,26,42,33,49,45,39,60,22,23,24,18,15,32,42,48,33,49,55,43,52,42,31,26,34,29,51,61,56,47,50,71,44,37,24,39,44,25,52,65,52,49,68,57,66,44,45,28,37,26,56,61,54,76,66,64,44,48,26,29,41,41,75,60,58,70,57,58,75,67,50,46,46,49,66,95,66,67,65,63,56,38,59,32,44
US-TN,20,57,33,0,0,34,26,16,14,0,0,14,13,21,11,13,23,16,11,21,10,9,12,9,18,8,15,8,15,15,22,11,13,6,6,13,18,14,11,16,18,7,10,11,9,17,9,14,12,23,19,13,13,27,21,18,10,18,18,11,8,11,19,24,35,24,18,20,19,10,12,13,27,30,19,36,32,23,29,16,24,21,13,18,22,27,22,23,23,38,38,35,20,23,23,20,41,44,48,37,43,50,52,47,45,31,29,31,56,50,48,53,61,73,61,51,42,33,31,31,55,56,56,61,60,55,58,46,46,36,30,33,72,66,61,59,72,66,62,55,47,45,39,38,76,76,78,85,92,71,74,53,58,44,42,48,80,76,66,75,81,85,82,77,50,48,43,53,84,82,86,88,92,95,97,92,73,54,47,51,100,80,85,76,77,77,79,64,62,61,57
US-TX,14,10,10,14,14,18,11,10,13,10,11,10,12,16,12,18,11,12,8,13,12,10,9,11,8,15,10,13,17,13,15,21,10,16,9,11,13,17,16,15,17,19,15,16,12,13,14,11,16,17,19,22,17,19,23,17,16,19,14,14,24,22,28,26,31,27,28,26,26,23,18,18,31,28,31,35,36,32,25,29,25,20,17,15,29,30,30,27,30,33,36,31,25,27,23,25,39,39,38,40,42,46,47,46,42,32,29,31,48,47,53,54,51,57,60,52,48,35,30,29,56,53,58,58,55,56,60,52,47,37,37,34,62,55,58,58,57,59,62,56,49,49,40,46,73,71,74,74,76,74,73,59,57,49,42,46,78,70,66,70,76,75,78,68,56,55,48,56,82,80,82,86,88,92,100,89,71,61,58,58,95,86,89,87,83,83,87,79,65,61,58
US-UT,30,45,37,30,0,0,0,25,24,23,24,29,38,40,17,29,34,0,18,34,15,0,27,40,11,12,14,11,17,20,11,10,16,9,12,13,23,27,19,12,21,12,10,12,25,8,6,9,15,12,17,7,16,9,23,23,11,13,8,13,19,11,18,24,34,17,38,13,12,17,22,9,25,24,25,34,30,29,31,25,36,27,19,14,33,33,22,23,27,39,46,30,28,23,31,28,35,55,39,43,41,60,45,51,51,39,24,27,52,53,61,54,70,64,70,52,44,38,44,39,65,56,57,60,60,56,59,52,49,30,32,43,55,58,66,59,65,58,60,69,56,54,48,47,79,86,82,69,95,81,69,55,62,55,45,47,81,80,70,75,80,70,80,60,55,53,54,61,94,85,94,93,93,95,98,100,70,68,68,72,99,92,85,99,89,81,74,68,76,69,66
US-VT,0,0,63,0,43,48,0,0,0,0,37,32,29,31,25,30,0,0,59,0,0,0,70,0,0,0,36,38,19,20,20,0,35,32,19,23,21,22,19,38,38,46,41,20,28,16,34,0,31,32,0,0,16,18,17,18,0,13,15,15,42,14,13,13,29,31,23,0,13,18,0,10,17,30,11,21,16,18,25,20,13,8,17,8,21,19,22,9,6,23,26,15,19,10,8,24,36,25,19,52,28,45,53,52,20,26,23,34,43,45,41,43,50,59,42,33,43,27,28,26,49,43,37,53,60,53,61,51,39,16,41,34,27,42,40,52,59,71,46,54,28,25,43,54,53,56,52,65,76,65,57,61,33,34,40,47,60,61,50,44,62,51,58,47,40,49,28,46,61,64,62,76,73,77,73,72,51,42,43,47,78,100,68,58,63,56,67,45,55,40,42
US-VA,28,8,23,15,14,16,7,12,19,5,5,7,6,10,14,14,14,5,11,15,8,7,5,5,14,4,6,11,8,12,15,13,7,7,8,6,15,12,11,12,9,11,7,16,12,9,7,10,12,15,12,14,13,12,11,11,10,9,10,8,13,11,17,14,13,15,15,11,12,11,10,8,15,14,16,17,16,18,16,15,14,14,9,8,23,30,28,23,24,32,32,29,24,22,23,22,40,40,37,43,43,46,55,52,38,29,26,29,50,58,61,55,63,61,63,58,44,37,36,33,59,62,60,52,54,53,41,33,29,23,23,20,34,32,29,35,35,34,65,63,48,43,40,47,64,76,83,76,88,78,76,66,55,42,43,45,69,69,69,65,79,76,75,71,56,51,48,58,84,82,76,84,93,86,100,89,69,60,58,59,98,83,92,83,77,80,82,72,65,56,55
US-WA,11,13,8,20,7,9,22,10,12,11,13,11,14,21,15,14,8,11,13,10,9,10,8,10,10,13,12,15,11,11,20,12,13,14,9,6,17,20,15,15,18,17,17,10,9,12,11,15,10,10,18,15,17,20,14,16,18,8,12,15,18,17,17,25,28,26,29,18,27,19,18,21,27,26,30,31,31,25,27,30,27,21,16,24,27,29,27,28,37,35,35,30,27,27,24,27,37,40,35,50,49,48,50,52,40,33,32,34,51,55,55,54,60,65,60,63,44,44,33,37,62,61,63,61,62,60,64,50,48,43,39,42,65,72,67,73,70,63,65,67,50,56,48,50,82,76,82,88,89,72,74,64,50,53,47,48,83,82,75,79,89,77,89,74,65,55,54,65,89,93,89,93,100,98,98,93,71,70,66,66,99,97,99,97,93,93,79,83,71,72,71
US-WV,0,0,0,0,0,0,0,85,0,80,0,73,0,0,0,63,0,0,0,0,54,0,0,0,0,0,0,0,40,0,41,0,48,0,45,69,39,40,36,36,36,0,41,0,0,57,0,0,27,26,26,50,40,30,45,28,25,0,0,0,23,48,32,22,25,27,27,27,43,32,22,22,21,53,20,31,34,33,23,0,27,63,21,22,23,22,31,25,26,32,36,23,31,22,23,16,46,32,25,35,34,43,39,46,25,12,23,10,33,42,40,36,42,47,56,37,43,27,26,17,44,54,45,50,36,54,41,36,25,27,38,23,49,51,49,61,83,53,52,54,49,30,29,54,62,67,60,66,72,65,64,56,41,27,39,39,71,52,58,53,64,74,74,55,44,36,42,52,63,76,73,100,82,64,78,70,47,52,42,36,85,72,82,78,64,70,51,70,52,51,37
US-WI,0,11,14,11,10,11,11,0,23,9,19,16,11,8,17,7,6,0,19,13,9,6,17,10,6,8,17,7,12,21,7,17,10,10,6,8,14,12,13,14,15,10,13,7,8,13,7,11,13,15,14,10,15,12,11,10,8,7,13,11,20,14,24,18,19,32,20,21,25,13,22,16,24,27,22,27,23,26,25,23,29,15,17,19,24,29,19,23,21,33,27,24,23,25,19,19,32,32,35,34,36,50,48,37,32,30,22,26,51,42,51,46,52,59,57,49,37,32,25,29,55,52,55,55,57,59,47,43,36,31,30,31,67,66,65,56,64,58,63,54,46,41,43,48,73,75,77,71,74,76,67,58,48,39,37,44,81,74,56,69,68,60,64,64,47,47,49,54,81,83,82,85,77,79,88,74,52,56,49,55,90,85,100,83,68,69,74,68,53,52,51
US-WY,0,0,100,0,73,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,40,37,39,0,0,0,0,0,0,35,33,0,0,26,25,0,0,23,0,0,21,0,22,0,0,0,18,17,0,0,31,0,23,18,0,17,0,0,16,15,14,0,22,27,22,16,33,39,14,28,16,15,14,20,28,15,0,25,35,16,21,10,9,8,9,9,20,9,28,10,10,15,21,22,13,0,17,25,17,26,23,22,16,19,27,16,16,18,32,22,35,25,43,30,29,26,9,20,22,7,25,29,39,30,20,24,21,20,20,29,13,18,32,33,39,32,40,33,36,18,24,21,15,18,35,42,33,38,45,33,46,41,34,32,24,27,38,31,23,23,33,35,31,40,26,28,31,33,38,52,30,32,60,48,49,45,35,41,26,32,58,52,50,42,37,37,38,36,32,39,32
